season,hour,scenario,value,probability
Autumn,0,1,0.33360606694501477,0.01034489262348404
Autumn,0,2,0.33420574726503294,0.010338171441692265
Autumn,0,3,0.33480542758505105,0.01033144223708588
Autumn,0,4,0.3354051079050692,0.010324705031380478
Autumn,0,5,0.33600478822508734,0.010317959846184896
Autumn,0,6,0.3366044685451055,0.010311206703001933
Autumn,0,7,0.3372041488651237,0.010304445623229052
Autumn,0,8,0.3378038291851418,0.010297676628159091
Autumn,0,9,0.33840350950515996,0.010290899738980962
Autumn,0,10,0.3390031898251781,0.010284114976780313
Autumn,0,11,0.33960287014519625,0.010277322362540238
Autumn,0,12,0.3402025504652144,0.010270521917141926
Autumn,0,13,0.34080223078523253,0.010263713661365373
Autumn,0,14,0.3414019111052507,0.010256897615889991
Autumn,0,15,0.3420015914252688,0.010250073801295312
Autumn,0,16,0.342601271745287,0.01024324223806163
Autumn,0,17,0.34320095206530515,0.010236402946570643
Autumn,0,18,0.34380063238532327,0.010229555947106108
Autumn,0,19,0.34440031270534144,0.010222701259854446
Autumn,0,20,0.34499999302535955,0.010215838904905433
Autumn,0,21,0.3455996733453777,0.010208968902252766
Autumn,0,22,0.3461993536653959,0.010202091271794717
Autumn,0,23,0.346799033985414,0.010195206033334755
Autumn,0,24,0.3473987143054322,0.010188313206582133
Autumn,0,25,0.34799839462545035,0.01018141281115252
Autumn,0,26,0.34859807494546846,0.010174504866568571
Autumn,0,27,0.34919775526548663,0.010167589392260578
Autumn,0,28,0.34979743558550475,0.010160666407566986
Autumn,0,29,0.3503971159055229,0.010153735931735042
Autumn,0,30,0.3509967962255411,0.01014679798392136
Autumn,0,31,0.3515964765455592,0.010139852583192475
Autumn,0,32,0.35219615686557737,0.01013289974852545
Autumn,0,33,0.3527958371855955,0.010125939498808413
Autumn,0,34,0.35339551750561365,0.010118971852841158
Autumn,0,35,0.3539951978256318,0.010111996829335645
Autumn,0,36,0.35459487814564994,0.010105014446916622
Autumn,0,37,0.3551945584656681,0.010098024724122117
Autumn,0,38,0.3557942387856862,0.010091027679404025
Autumn,0,39,0.3563939191057044,0.010084023331128626
Autumn,0,40,0.35699359942572256,0.010077011697577114
Autumn,0,41,0.3575932797457407,0.010069992796946162
Autumn,0,42,0.35819296006575885,0.010062966647348404
Autumn,0,43,0.35879264038577696,0.010055933266813016
