season,hour,scenario,value,probability
Autumn,0,1,0.3039218911041164,0.010676580874452462
Autumn,0,2,0.30512125174415267,0.010663971588804382
Autumn,0,3,0.30632061238418895,0.010651325388832702
Autumn,0,4,0.3075199730242253,0.010638642497250017
Autumn,0,5,0.3087193336642616,0.010625923134383153
Autumn,0,6,0.30991869430429786,0.010613167518207876
Autumn,0,7,0.31111805494433414,0.010600375864383074
Autumn,0,8,0.31231741558437043,0.010587548386284203
Autumn,0,9,0.31351677622440677,0.010574685295036176
Autumn,0,10,0.31471613686444305,0.0105617867995456
Autumn,0,11,0.31591549750447934,0.010548853106532514
Autumn,0,12,0.3171148581445156,0.010535884420561446
Autumn,0,13,0.31831421878455196,0.010522880944071954
Autumn,0,14,0.31951357942458825,0.010509842877408644
Autumn,0,15,0.32071294006462453,0.010496770418850587
Autumn,0,16,0.3219123007046608,0.010483663764640267
Autumn,0,17,0.3231116613446971,0.010470523109011962
Autumn,0,18,0.32431102198473344,0.010457348644219657
Autumn,0,19,0.3255103826247697,0.010444140560564445
Autumn,0,20,0.326709743264806,0.010430899046421468
Autumn,0,21,0.3279091039048423,0.010417624288266316
Autumn,0,22,0.3291084645448786,0.010404316470701074
Autumn,0,23,0.3303078251849149,0.010390975776479808
Autumn,0,24,0.3315071858249512,0.010377602386533673
Autumn,0,25,0.3327065464649875,0.010364196479995556
Autumn,0,26,0.33390590710502377,0.010350758234224306
Autumn,0,27,0.3351052677450601,0.010337287824828552
Autumn,0,28,0.3363046283850964,0.010323785425690074
Autumn,0,29,0.3375039890251327,0.010310251208986843
Autumn,0,30,0.33870334966516896,0.010296685345215618
Autumn,0,31,0.33990271030520525,0.010283088003214156
Autumn,0,32,0.3411020709452416,0.01026945935018307
Autumn,0,33,0.34230143158527787,0.010255799551707336
Autumn,0,34,0.34350079222531416,0.010242108771777385
Autumn,0,35,0.34470015286535044,0.010228387172809878
Autumn,0,36,0.3458995135053867,0.010214634915668114
Autumn,0,37,0.34709887414542306,0.010200852159682177
Autumn,0,38,0.34829823478545935,0.010187039062668598
Autumn,0,39,0.34949759542549563,0.010173195780949836
Autumn,0,40,0.3506969560655319,0.010159322469373367
Autumn,0,41,0.3518963167055682,0.010145419281330486
Autumn,0,42,0.35309567734560454,0.010131486368774778
Autumn,0,43,0.3542950379856408,0.010117523882240298
Autumn,0,44,0.3554943986256771,0.010103531970859494
Autumn,0,45,0.3566937592657134,0.010089510782380766
Autumn,0,46,0.3578931199057497,0.010075460463185804
Autumn,0,47,0.359092480545786,0.010061381158306622
Autumn,0,48,0.3602918411858223,0.010047273011442334
Autumn,0,49,0.3614912018258586,0.010033136164975642
Autumn,0,50,0.3626905624658949,0.010018970759989058
Autumn,0,51,0.36388992310593116,0.010004776936280909
Autumn,0,52,0.3650892837459675,0.009990554832381057
Autumn,0,53,0.3662886443860038,0.009976304585566354
Autumn,0,54,0.36748800502604007,0.009962026331875918
Autumn,0,55,0.3686873656660764,0.009947720206126087
Autumn,0,56,0.36988672630611263,0.009933386341925218
Autumn,0,57,0.371086086946149,0.009919024871688194
Autumn,0,58,0.37228544758618526,0.009904635926650755
Autumn,0,59,0.37348480822622154,0.009890219636883569
Autumn,0,60,0.3746841688662579,0.009875776131306099
Autumn,0,61,0.37588352950629417,0.009861305537700295
Autumn,0,62,0.37708289014633045,0.009846807982723986
Autumn,0,63,0.37828225078636674,0.009832283591924168
Autumn,0,64,0.379481611426403,0.009817732489750047
Autumn,0,65,0.38068097206643936,0.009803154799565832
Autumn,0,66,0.38188033270647564,0.009788550643663465
Autumn,0,67,0.38307969334651193,0.009773920143275007
Autumn,0,68,0.3842790539865482,0.009759263418584959
Autumn,0,69,0.3854784146265845,0.00974458058874231
Autumn,0,70,0.38667777526662084,0.009729871771872482
Autumn,0,71,0.3878771359066571,0.00971513708508905
Autumn,0,72,0.3890764965466934,0.009700376644505277
Autumn,0,73,0.3902758571867297,0.009685590565245534
Autumn,0,74,0.391475217826766,0.00967077896145649
Autumn,0,75,0.3926745784668023,0.009655941946318183
